subject, block_type, block, thought probe, trial, chosen, unchosen, offer_right_image, offer_left_image, exp_value_right, exp_value_left, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, coins_per_block, coins_per_task, ntrial_to_prob, count_to_prob, RT_vas
0, test, 1, no_probe, 1, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3637649000156671, 0, -9999.000000, 0.000000, 0.000000, 1.000000, 2.000000,-9999.000000
0, test, 1, probe, 2, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.37866170005872846, 1, 19.102722, 1.000000, 1.000000, 2.000000, 2.000000,10.000000
0, test, 2, no_probe, 1, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.528165000025183, 1, -9999.000000, 1.000000, 2.000000, 1.000000, 2.000000,-9999.000000
0, test, 2, probe, 2, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.42404269985854626, 1, 76.997009, 2.000000, 3.000000, 2.000000, 2.000000,10.000000
0, test, 3, no_probe, 1, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6390410999301821, 1, -9999.000000, 1.000000, 4.000000, 1.000000, 2.000000,-9999.000000
0, test, 3, probe, 2, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.3703862000256777, 0, 72.313751, 1.000000, 4.000000, 2.000000, 2.000000,10.000000
0, test, 4, no_probe, 1, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5040737001691014, 0, -9999.000000, 0.000000, 4.000000, 1.000000, 2.000000,-9999.000000
0, test, 4, probe, 2, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.24246779992245138, 0, 23.705902, 0.000000, 4.000000, 2.000000, 2.000000,10.000000
0, test, 5, no_probe, 1, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4287862000055611, 1, -9999.000000, 1.000000, 5.000000, 1.000000, 2.000000,-9999.000000
0, test, 5, probe, 2, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.225451200036332, 0, 65.513062, 1.000000, 5.000000, 2.000000, 2.000000,10.000000
0, test, 6, no_probe, 1, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.39831760013476014, 0, -9999.000000, 0.000000, 5.000000, 1.000000, 2.000000,-9999.000000
0, test, 6, probe, 2, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.21871939999982715, 1, 71.266998, 1.000000, 6.000000, 2.000000, 2.000000,10.000000
0, test, 7, no_probe, 1, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.35915100015699863, 1, -9999.000000, 1.000000, 7.000000, 1.000000, 2.000000,-9999.000000
0, test, 7, probe, 2, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.20633169985376298, 1, 31.779694, 2.000000, 8.000000, 2.000000, 2.000000,10.000000
0, test, 8, no_probe, 1, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.31825949996709824, 1, -9999.000000, 1.000000, 9.000000, 1.000000, 2.000000,-9999.000000
0, test, 8, probe, 2, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.20409750007092953, 0, 28.001862, 1.000000, 9.000000, 2.000000, 2.000000,10.000000
