subject, block_type, block, thought probe, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_flower, unchosen_flower, chosen_flower_image, unchosen_flower_image, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins
0, test, 1, not presented, 1, 4, 1, 24.png, 21.png, 0.65, 0.65, 0.65, right, 2, 4, 1, 24.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.38125570002011955,1, 1,
0, test, 1, not presented, 2, 4, 1, 23.png, 22.png, 0.35, 0.35, 0.35, left, 1, 1, 4, 22.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.3919208999723196,0, 1,
0, test, 1, presented, 3, 4, 1, 24.png, 21.png, 0.65, 0.65, 0.65, right, 2, 4, 1, 24.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.32876439997926354,0, 1,
72,
0, test, 1, not presented, 4, 4, 1, 21.png, 24.png, 0.65, 0.65, 0.65, left, 1, 1, 4, 24.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.4925879999063909,1, 2,
0, test, 1, presented, 5, 4, 1, 22.png, 24.png, 0.65, 0.35, 0.65, right, 2, 4, 1, 22.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.23917389998678118,0, 2,
24,
0, test, 1, not presented, 6, 4, 1, 23.png, 24.png, 0.65, 0.35, 0.65, right, 2, 4, 1, 23.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.30576110002584755,1, 3,
0, test, 1, not presented, 7, 4, 1, 24.png, 23.png, 0.65, 0.35, 0.35, left, 1, 1, 4, 23.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.22537120000924915,1, 4,
0, test, 1, presented, 8, 4, 1, 21.png, 22.png, 0.35, 0.65, 0.35, right, 2, 4, 1, 21.png, 22.png, 0.65, 0.35, 0.35, 0.65, 0.2430504000512883,1, 5,
21,
0, test, 1, not presented, 9, 4, 1, 23.png, 21.png, 0.35, 0.65, 0.65, left, 1, 1, 4, 21.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.3217750999610871,1, 6,
0, test, 1, presented, 10, 4, 1, 24.png, 21.png, 0.65, 0.65, 0.65, right, 2, 4, 1, 24.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.4855155000695959,1, 7,
26,
