subject, block_type, block, thought probe, trial, chosen, unchosen, offer_right_image, offer_left_image, exp_value_right, exp_value_left, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, coins_per_block, coins_per_task, ntrial_to_prob, count_to_prob, RT_vas
0, test, 1, no_probe, 1, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4508442999795079, 0, -9999.000000, 0.000000, 0.000000, 1.000000, 2.000000,-9999.000000
0, test, 1, probe, 2, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.21940099983476102, 1, 72.258118, 1.000000, 1.000000, 2.000000, 2.000000,1.799975
0, test, 1, no_probe, 3, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.2339780000038445, 0, -9999.000000, 1.000000, 1.000000, 1.000000, 2.000000,-9999.000000
0, test, 1, probe, 4, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.1823005999904126, 0, 20.252747, 1.000000, 1.000000, 2.000000, 2.000000,1.583319
0, test, 1, no_probe, 5, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4036385000217706, 1, -9999.000000, 2.000000, 2.000000, 1.000000, 2.000000,-9999.000000
0, test, 1, probe, 6, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.24148590001277626, 0, 71.956879, 2.000000, 2.000000, 2.000000, 2.000000,1.016592
0, test, 1, no_probe, 7, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.20770380017347634, 0, -9999.000000, 2.000000, 2.000000, 1.000000, 2.000000,-9999.000000
0, test, 1, probe, 8, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.22074380004778504, 0, 22.278992, 2.000000, 2.000000, 2.000000, 2.000000,1.349956
0, test, 1, no_probe, 9, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8458098999690264, 1, -9999.000000, 3.000000, 3.000000, 1.000000, 2.000000,-9999.000000
0, test, 1, probe, 10, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.28825150011107326, 1, 27.287262, 4.000000, 4.000000, 2.000000, 2.000000,1.233309
