subject, block_type, block, thought probe, trial, chosen, unchosen, offer_right_image, offer_left_image, exp_value_right, exp_value_left, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, coins_per_block, coins_per_task, ntrial_to_prob, count_to_prob
0, test, 1, no_probe, 1, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9724258000496775, 0, -9999.000000, 0.000000, 0.000000, 1.000000, 2.000000
0, test, 1, probe, 2, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.21845189994201064, 0, 13.140839, 0.000000, 0.000000, 2.000000, 2.000000
0, test, 2, no_probe, 1, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6858164998702705, 0, -9999.000000, 0.000000, 0.000000, 1.000000, 2.000000
0, test, 2, probe, 2, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.26669350010342896, 0, 74.286713, 0.000000, 0.000000, 2.000000, 2.000000
0, test, 3, no_probe, 1, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9579612000379711, 1, -9999.000000, 1.000000, 1.000000, 1.000000, 2.000000
0, test, 3, probe, 2, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.2640396999195218, 0, 77.201477, 1.000000, 1.000000, 2.000000, 2.000000
0, test, 4, no_probe, 1, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.646484199911356, 0, -9999.000000, 0.000000, 1.000000, 1.000000, 2.000000
0, test, 4, probe, 2, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.2814486001152545, 0, 81.347198, 0.000000, 1.000000, 2.000000, 2.000000
0, test, 5, no_probe, 1, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5832336999010295, 0, -9999.000000, 0.000000, 1.000000, 1.000000, 2.000000
0, test, 5, probe, 2, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.2407495998777449, 1, 32.392761, 1.000000, 2.000000, 2.000000, 2.000000
0, test, 6, no_probe, 1, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4140614999923855, 1, -9999.000000, 1.000000, 3.000000, 1.000000, 2.000000
0, test, 6, probe, 2, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.21472050016745925, 0, 28.271698, 1.000000, 3.000000, 2.000000, 2.000000
0, test, 7, no_probe, 1, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.663526700111106, 0, -9999.000000, 0.000000, 3.000000, 1.000000, 2.000000
0, test, 7, probe, 2, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5626626999583095, 0, 27.576172, 0.000000, 3.000000, 2.000000, 2.000000
0, test, 8, no_probe, 1, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6516892001964152, 0, -9999.000000, 0.000000, 3.000000, 1.000000, 2.000000
0, test, 8, probe, 2, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.2635481001343578, 0, 71.650330, 0.000000, 3.000000, 2.000000, 2.000000
