subject, block_type, block, thought probe, trial, chosen, unchosen, offer_right_image, offer_left_image, exp_value_right, exp_value_left, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, RT_vas, coins_per_block, coins_per_task, ntrial_to_prob, count_to_prob
0, test, 1, no_probe, 1, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.49457630002871156, 1, -9999.000000, -9999.000000, 1.000000, 1.000000, 1.000000,2.000000
0, test, 1, probe, 2, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.21124820015393198, 1, 50.000000, 1.199956, 2.000000, 2.000000, 2.000000,2.000000
0, test, 1, no_probe, 3, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.15507619990967214, 1, -9999.000000, -9999.000000, 3.000000, 3.000000, 1.000000,3.000000
0, test, 1, no_probe, 4, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.18248450011014938, 1, -9999.000000, -9999.000000, 4.000000, 4.000000, 2.000000,3.000000
0, test, 1, probe, 5, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.22441149991936982, 0, 34.013611, 1.099960, 4.000000, 4.000000, 3.000000,3.000000
0, test, 1, no_probe, 6, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.3906717000063509, 1, -9999.000000, -9999.000000, 5.000000, 5.000000, 1.000000,2.000000
0, test, 1, probe, 7, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.1448437999933958, 1, 49.998108, 1.033370, 6.000000, 6.000000, 2.000000,2.000000
0, test, 1, no_probe, 8, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.2864189997781068, 0, -9999.000000, -9999.000000, 6.000000, 6.000000, 1.000000,2.000000
0, test, 1, probe, 9, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.19928869977593422, 0, 58.853088, 1.183276, 6.000000, 6.000000, 2.000000,2.000000
0, test, 1, no_probe, 10, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.2892382999416441, 0, -9999.000000, -9999.000000, 6.000000, 6.000000, 1.000000,3.000000
