subject, block_type, block, thought probe, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, RT_vas, coins_per_block, coins_per_task, count_to_prob, ntrial_to_prob, ITI_duration,RT_deadline,choice_feedback_duration,outcome_duration
30,practice,1, no_probe,1,1,2,1,2,0.3,0.4, left,1,0.3,0.4,0.6,0.7,0.6738353,0, , ,0,0,1,3,1,6,0.5,1
30,practice,1, no_probe,2,3,1,1,3,0.6,0.3, right,2,0.3,0.4,0.6,0.7,0.606802,1, , ,1,1,2,3,1,6,0.5,1
30,practice,1, probe,3,3,2,3,2,0.6,0.4, left,1,0.3,0.4,0.6,0.7,0.6785517,0,99.99905396,5.8329966,1,1,3,3,1,6,0.5,1
30,practice,1, no_probe,4,4,2,2,4,0.7,0.4, right,2,0.3,0.4,0.6,0.7,0.5472337,1, , ,2,2,1,2,1,6,0.5,1
30,practice,1, probe,5,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,0.6035669,0,99.99835205,4.3166006,2,2,2,2,1,6,0.5,1
30,practice,1, no_probe,6,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,0.4917586,1, , ,3,3,1,2,1,6,0.5,1
30, test,1, no_probe,1,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.4504622,0, , ,0,3,1,2,1,6,0.5,1
30, test,1, probe,2,4,1,4,1,0.7,0.3, left,1,0.3,0.4,0.6,0.7,0.7818215,1,99.99804688,3.2499775,1,4,2,2,1,6,0.5,1
30, test,1, no_probe,3,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,0.5485804,1, , ,2,5,1,2,1,6,0.5,1
30, test,1, probe,4,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,0.6428679,1,94.42700195,4.0999336,3,6,2,2,1,6,0.5,1
30, test,1, no_probe,5,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,0.593949,0, , ,3,6,1,2,1,6,0.5,1
30, test,1, probe,6,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,0.7677607,0,94.73937988,4.5832724,3,6,2,2,1,6,0.5,1
30, test,1, no_probe,7,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,0.5019446,1, , ,4,7,1,2,1,6,0.5,1
30, test,1, probe,8,4,1,1,4,0.7,0.3, right,2,0.3,0.4,0.6,0.7,0.7761787,1,93.74328613,4.0832497,5,8,2,2,1,6,0.5,1
30, test,1, no_probe,9,2,4,4,2,0.4,0.7, right,2,0.3,0.4,0.6,0.7,0.5013799,0, , ,5,8,1,2,1,6,0.5,1
30, test,1, probe,10,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,0.6440001,0,93.54669189,2.683297,5,8,2,2,1,6,0.5,1
30, test,1, no_probe,11,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.567698,1, , ,6,9,1,3,1,6,0.5,1
30, test,1, no_probe,12,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,0.860796,1, , ,7,10,2,3,1,6,0.5,1
30, test,1, probe,13,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.620899,1,93.8503418,2.7499327,8,11,3,3,1,6,0.5,1
30, test,1, no_probe,14,4,2,4,2,0.7,0.4, left,1,0.3,0.4,0.6,0.7,0.7096486,1, , ,9,12,1,3,1,6,0.5,1
30, test,1, no_probe,15,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.588294,0, , ,9,12,2,3,1,6,0.5,1
30, test,1, probe,16,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,0.8850177,0,91.71102905,3.4833306,9,12,3,3,1,6,0.5,1
30, test,1, no_probe,17,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,0.8197827,0, , ,9,12,1,2,1,6,0.5,1
30, test,1, probe,18,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,0.9552039,0,88.31063843,5.316573,9,12,2,2,1,6,0.5,1
30, test,1, no_probe,19,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.6167415,1, , ,10,13,1,2,1,6,0.5,1
30, test,1, probe,20,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,0.8669522,1,95.52062988,3.2166549,11,14,2,2,1,6,0.5,1
30, test,1, no_probe,21,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,0.7195633,0, , ,11,14,1,2,1,6,0.5,1
30, test,1, probe,22,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,0.6998723,1,92.20797729,3.8166504,12,15,2,2,1,6,0.5,1
30, test,1, no_probe,23,2,1,1,2,0.4,0.3, right,2,0.3,0.4,0.6,0.7,0.5474704,0, , ,12,15,1,3,1,6,0.5,1
30, test,1, no_probe,24,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.6065075,1, , ,13,16,2,3,1,6,0.5,1
30, test,1, probe,25,4,2,2,4,0.7,0.4, right,2,0.3,0.4,0.6,0.7,0.6156825,0,86.6494751,3.616651,13,16,3,3,1,6,0.5,1
30, test,2, no_probe,1,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,0.6308855,1, , ,1,17,1,3,1,6,0.5,1
30, test,2, no_probe,2,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,0.5785819,1, , ,2,18,2,3,1,6,0.5,1
30, test,2, probe,3,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,0.5175993,0,93.86224365,3.1999763,2,18,3,3,1,6,0.5,1
30, test,2, no_probe,4,3,1,1,3,0.6,0.3, right,2,0.3,0.4,0.6,0.7,0.4210668,1, , ,3,19,1,2,1,6,0.5,1
30, test,2, probe,5,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,0.7424064,1,93.47720337,2.3832572,4,20,2,2,1,6,0.5,1
30, test,2, no_probe,6,2,4,4,2,0.4,0.7, right,2,0.3,0.4,0.6,0.7,0.484713,1, , ,5,21,1,3,1,6,0.5,1
30, test,2, no_probe,7,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,0.5435835,1, , ,6,22,2,3,1,6,0.5,1
30, test,2, probe,8,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,0.9151076,0,92.92807007,1.9833473,6,22,3,3,1,6,0.5,1
30, test,2, no_probe,9,1,2,1,2,0.3,0.4, left,1,0.3,0.4,0.6,0.7,0.7142915,1, , ,7,23,1,2,1,6,0.5,1
30, test,2, probe,10,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,0.8629365,1,98.15539551,4.5832342,8,24,2,2,1,6,0.5,1
30, test,2, no_probe,11,2,4,2,4,0.4,0.7, left,1,0.3,0.4,0.6,0.7,0.5503683,1, , ,9,25,1,3,1,6,0.5,1
30, test,2, no_probe,12,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,1.0963074,0, , ,9,25,2,3,1,6,0.5,1
30, test,2, probe,13,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,0.7278082,0,95.70651245,2.2999763,9,25,3,3,1,6,0.5,1
30, test,2, no_probe,14,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,0.5093918,0, , ,9,25,1,3,1,6,0.5,1
30, test,2, no_probe,15,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,1.0069888,0, , ,9,25,2,3,1,6,0.5,1
30, test,2, probe,16,3,1,3,1,0.6,0.3, left,1,0.3,0.4,0.6,0.7,0.8127207,1,88.64767456,2.5999549,10,26,3,3,1,6,0.5,1
30, test,2, no_probe,17,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,0.8076883,1, , ,11,27,1,3,1,6,0.5,1
30, test,2, no_probe,18,4,1,1,4,0.7,0.3, right,2,0.3,0.4,0.6,0.7,0.8863373,0, , ,11,27,2,3,1,6,0.5,1
30, test,2, probe,19,1,4,4,1,0.3,0.7, right,2,0.3,0.4,0.6,0.7,0.6522117,0,91.28924561,2.6332951,11,27,3,3,1,6,0.5,1
30, test,2, no_probe,20,3,1,1,3,0.6,0.3, right,2,0.3,0.4,0.6,0.7,0.8557924,0, , ,11,27,1,2,1,6,0.5,1
30, test,2, probe,21,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.9638461,1,84.77642822,2.9333266,12,28,2,2,1,6,0.5,1
30, test,2, no_probe,22,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,0.8110518,1, , ,13,29,1,3,1,6,0.5,1
30, test,2, no_probe,23,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,0.8615025,1, , ,14,30,2,3,1,6,0.5,1
30, test,2, probe,24,2,4,2,4,0.4,0.7, left,1,0.3,0.4,0.6,0.7,0.7594512,1,95.86254883,5.0832876,15,31,3,3,1,6,0.5,1
30, test,2, no_probe,25,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,0.7581328,1, , ,16,32,1,3,1,6,0.5,1
30, test,3, no_probe,1,4,2,2,4,0.7,0.4, right,2,0.3,0.4,0.6,0.7,0.9619938,0, , ,0,32,1,3,1,6,0.5,1
